tensor_id,layer_name,mean_absolute_weight,weight_variance,l2_norm,max_absolute_weight,sparsity,importance_score
0,model.embed_tokens.weight,0.011756131425499916,0.0002222859620815143,119.0439453125,0.1494140625,0.0,0.0003110883740292789
1,model.layers.0.self_attn.q_proj.weight,121.23558807373047,1884.1021728515625,186521.953125,255.0,0.00013399124145507812,42599679601.04767
2,model.layers.0.self_attn.k_proj.weight,120.78226470947266,1468.149658203125,64883.7734375,255.0,0.0001068115234375,11504379668.044022
3,model.layers.0.self_attn.v_proj.weight,122.42756652832031,3286.25244140625,69217.046875,255.0,0.000278472900390625,27840193480.703403
4,model.layers.0.self_attn.o_proj.weight,122.332763671875,3251.90771484375,195506.09375,255.0,0.000244140625,77756240823.00688
5,model.layers.0.mlp.gate_proj.weight,122.4521484375,3561.19580078125,327263.0625,255.0,0.0003069097292609513,142667792804.3879
6,model.layers.0.mlp.up_proj.weight,122.60855102539062,3628.25830078125,328189.59375,255.0,0.0003278905642218888,145949072506.4595
7,model.layers.0.mlp.down_proj.weight,122.57530975341797,3562.067626953125,327537.15625,255.0,0.0003020546573679894,142966581695.73425
8,model.layers.0.input_layernorm.weight,0.012787704356014729,0.0021184850484132767,2.098799705505371,0.76953125,0.0,5.6857660361065066e-05
9,model.layers.0.post_attention_layernorm.weight,0.07458481192588806,0.0010964758694171906,3.6928319931030273,0.73828125,0.0,0.0003020014492519342
10,model.layers.1.self_attn.q_proj.weight,122.05840301513672,2973.952392578125,193652.890625,255.0,0.00023651123046875,70278575780.64003
11,model.layers.1.self_attn.k_proj.weight,121.95250701904297,2813.4794921875,68093.3828125,255.0,0.000171661376953125,23359569705.659264
12,model.layers.1.self_attn.v_proj.weight,122.43321990966797,3215.982177734375,69086.4921875,255.0,0.0002593994140625,27195270100.719128
13,model.layers.1.self_attn.o_proj.weight,122.61412811279297,3601.857666015625,197740.8125,255.0,0.0003275871276855469,87301374793.7782
14,model.layers.1.mlp.gate_proj.weight,122.62612915039062,3617.586181640625,328131.46875,255.0,0.0003171400458086282,145516430827.6815
15,model.layers.1.mlp.up_proj.weight,122.63320922851562,3624.3076171875,328204.125,255.0,0.000316619873046875,145827574541.8849
16,model.layers.1.mlp.down_proj.weight,122.62195587158203,3638.93701171875,328310.0625,255.0,0.0003053491818718612,146451673702.29288
17,model.layers.1.input_layernorm.weight,0.040605321526527405,0.003121121320873499,3.1222801208496094,0.55078125,0.0,0.0003956994695860067
18,model.layers.1.post_attention_layernorm.weight,0.12838280200958252,0.0004432547721080482,5.887407302856445,0.349609375,0.0,0.00033503050524827355
19,model.layers.2.self_attn.q_proj.weight,122.61996459960938,3520.265625,197315.640625,255.0,0.0002903938293457031,85147519033.69824
20,model.layers.2.self_attn.k_proj.weight,122.3830795288086,3195.707275390625,69024.59375,255.0,0.000217437744140625,26989683112.534935
21,model.layers.2.self_attn.v_proj.weight,122.57130432128906,3475.497802734375,69640.4921875,255.0,0.0002593994140625,29658896425.19157
22,model.layers.2.self_attn.o_proj.weight,122.6339111328125,3669.48193359375,198124.78125,255.0,0.0003337860107421875,89126971084.53758
23,model.layers.2.mlp.gate_proj.weight,122.4648666381836,3644.89306640625,328022.84375,255.0,0.0003230354923289269,146372698537.85342
24,model.layers.2.mlp.up_proj.weight,122.60771179199219,3641.8154296875,328301.28125,255.0,0.00031956759630702436,146544488019.38733
25,model.layers.2.mlp.down_proj.weight,122.65966796875,3659.49072265625,328570.15625,255.0,0.00032893093884922564,147437403216.17178
26,model.layers.2.input_layernorm.weight,0.08460098505020142,0.004682203289121389,4.923672676086426,0.67578125,0.0,0.0019503603483047292
27,model.layers.2.post_attention_layernorm.weight,0.16736134886741638,0.0004810278187505901,7.638597011566162,0.240234375,0.0,0.0006149488012231339
28,model.layers.3.self_attn.q_proj.weight,122.46798706054688,3548.933837890625,197269.28125,255.0,0.0002923011779785156,85714240539.07498
29,model.layers.3.self_attn.k_proj.weight,122.36378479003906,3438.644287109375,69475.1953125,255.0,0.000293731689453125,29224180753.845955
30,model.layers.3.self_attn.v_proj.weight,122.4429702758789,3573.20068359375,69764.90625,255.0,0.000278472900390625,30514574863.658524
31,model.layers.3.self_attn.o_proj.weight,122.69700622558594,3681.6796875,198272.421875,255.0,0.0003304481506347656,89536217525.35533
32,model.layers.3.mlp.gate_proj.weight,122.3235092163086,3661.7265625,327869.21875,255.0,0.00032338229357264936,146810129606.71436
33,model.layers.3.mlp.up_proj.weight,122.63314819335938,3645.767822265625,328393.21875,255.0,0.0003294511407148093,146773605569.65564
34,model.layers.3.mlp.down_proj.weight,122.64810180664062,3659.8515625,328546.0,255.0,0.0003102042537648231,147429959356.23798
35,model.layers.3.input_layernorm.weight,0.22434848546981812,0.0029973399359732866,10.450616836547852,0.64453125,0.0,0.007027503445440638
36,model.layers.3.post_attention_layernorm.weight,0.18430723249912262,0.0004562324029393494,8.396566390991211,0.2197265625,0.0,0.0007060415034765456
37,model.layers.4.self_attn.q_proj.weight,122.49954223632812,3533.182861328125,197226.9375,255.0,0.0003037452697753906,85336509908.1183
38,model.layers.4.self_attn.k_proj.weight,122.4034423828125,3424.555908203125,69466.671875,255.0,0.000308990478515625,29109863661.18114
39,model.layers.4.self_attn.v_proj.weight,122.69827270507812,3545.31591796875,69830.0390625,255.0,0.000301361083984375,30367201790.08001
40,model.layers.4.self_attn.o_proj.weight,122.61314392089844,3625.254150390625,197864.171875,255.0,0.0003123283386230469,87923908333.85219
41,model.layers.4.mlp.gate_proj.weight,122.40984344482422,3669.424560546875,328118.71875,255.0,0.00033101168810389936,147333509080.923
42,model.layers.4.mlp.up_proj.weight,122.58573913574219,3644.531494140625,328279.6875,255.0,0.00031766024767421186,146618134297.16144
43,model.layers.4.mlp.down_proj.weight,122.63760375976562,3662.968994140625,328552.03125,255.0,0.00033101168810389936,147542546500.56888
44,model.layers.4.input_layernorm.weight,0.3199385404586792,0.003388464916497469,14.71634292602539,0.74609375,0.0,0.015953995015359563
45,model.layers.4.post_attention_layernorm.weight,0.19775643944740295,0.0005676669534295797,9.01408863067627,0.2197265625,0.0,0.0010119197463183194
46,model.layers.5.self_attn.q_proj.weight,122.50918579101562,3557.371826171875,197368.53125,255.0,0.0002899169921875,85990385586.01698
47,model.layers.5.self_attn.k_proj.weight,122.43263244628906,3442.87890625,69515.1171875,255.0,0.000316619873046875,29292785166.653664
48,model.layers.5.self_attn.v_proj.weight,122.62297058105469,3579.350830078125,69859.390625,255.0,0.00032806396484375,30651970151.046417
49,model.layers.5.self_attn.o_proj.weight,122.61260223388672,3677.982421875,198143.09375,255.0,0.0003380775451660156,89325786454.75185
50,model.layers.5.mlp.gate_proj.weight,122.54618835449219,3649.063232421875,328234.0,255.0,0.0003275437920819968,146731206378.83228
51,model.layers.5.mlp.up_proj.weight,122.61880493164062,3625.74365234375,328186.34375,255.0,0.0003266767889726907,145858849237.87518
52,model.layers.5.mlp.down_proj.weight,122.6626968383789,3642.114013671875,328427.5625,255.0,0.0003185272216796875,146678779021.1672
53,model.layers.5.input_layernorm.weight,0.279992938041687,0.00237688678316772,12.861590385437012,0.75390625,0.0,0.008559536487436702
54,model.layers.5.post_attention_layernorm.weight,0.21595686674118042,0.0005064037395641208,9.825963020324707,0.2421875,0.0,0.0010745807273820815
55,model.layers.6.self_attn.q_proj.weight,122.5870361328125,3527.268310546875,197309.125,255.0,0.00028324127197265625,85291781302.70396
56,model.layers.6.self_attn.k_proj.weight,122.68843078613281,3464.5390625,69673.7421875,255.0,0.000278472900390625,29607194396.222145
57,model.layers.6.self_attn.v_proj.weight,122.38401794433594,3531.1318359375,69658.9375,255.0,0.000286102294921875,30094782929.158833
58,model.layers.6.self_attn.o_proj.weight,122.64669799804688,3638.1904296875,197976.359375,255.0,0.00030422210693359375,88312560951.22609
