tensor_id,layer_name,layer_type,shape,dtype,num_parameters,parameter_percentage,requires_grad,quantized
167,model.layers.18.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
168,model.layers.18.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
169,model.layers.18.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
170,model.layers.18.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
171,model.layers.18.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
172,model.layers.19.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
173,model.layers.19.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
174,model.layers.19.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
175,model.layers.19.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
176,model.layers.19.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
177,model.layers.19.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
178,model.layers.19.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
179,model.layers.19.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
180,model.layers.19.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
181,model.layers.20.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
182,model.layers.20.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
183,model.layers.20.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
184,model.layers.20.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
185,model.layers.20.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
186,model.layers.20.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
187,model.layers.20.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
188,model.layers.20.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
189,model.layers.20.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
190,model.layers.21.self_attn.q_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
191,model.layers.21.self_attn.k_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
192,model.layers.21.self_attn.v_proj.weight,Attention,"(262144, 1)",torch.uint8,262144,0.04258306192176028,False,True
193,model.layers.21.self_attn.o_proj.weight,Attention,"(2097152, 1)",torch.uint8,2097152,0.3406644953740822,False,True
194,model.layers.21.mlp.gate_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
195,model.layers.21.mlp.up_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
196,model.layers.21.mlp.down_proj.weight,MLP,"(5767168, 1)",torch.uint8,5767168,0.9368273622787261,False,True
197,model.layers.21.input_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
198,model.layers.21.post_attention_layernorm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
199,model.norm.weight,Normalization,"(2048,)",torch.bfloat16,2048,0.00033268017126375217,True,False
200,lm_head.weight,LM Head,"(32000, 2048)",torch.bfloat16,65536000,10.645765480440069,True,False
