tensor_id,layer_name,shannon_entropy,renyi_entropy,tsallis_entropy,local_entropy_mean,local_entropy_std,local_entropy_min,local_entropy_max,residual_entropy,entropy_stability,normalized_entropy,entropy_percentile
0,model.embed_tokens.weight,5.88450288772583,5.641408443450928,0.9799660444259644,7.057428834136576,0.12490084691568379,4.57466459274292,7.442159175872803,6.015104293823242,3.147125244140625e-05,0.7355628609657288,0.22885572139303484
1,model.layers.0.self_attn.q_proj.weight,6.644868850708008,5.44342565536499,0.977019190788269,6.133060267282417,0.9787067036453819,1.592435598373413,7.335324287414551,6.688554286956787,0.0,0.830608606338501,0.24378109452736318
2,model.layers.0.self_attn.k_proj.weight,6.004114151000977,4.49937105178833,0.9557865858078003,5.545159316621721,0.9339129902932954,3.529454231262207,7.293619155883789,6.2474517822265625,0.0,0.7505142688751221,0.23880597014925373
3,model.layers.0.self_attn.v_proj.weight,7.641371250152588,7.3714070320129395,0.9939607381820679,7.247205121442676,0.07020304719198307,7.063353061676025,7.474008560180664,7.378236293792725,0.0,0.9551714062690735,0.2835820895522388
4,model.layers.0.self_attn.o_proj.weight,7.640299320220947,7.383138179779053,0.9940096139907837,7.210014033596963,0.2816735560777041,1.087266206741333,7.5168938636779785,7.357128620147705,0.0,0.9550374150276184,0.27860696517412936
5,model.layers.0.mlp.gate_proj.weight,7.736472129821777,7.564113616943359,0.9947158694267273,7.334418571257794,0.08780393615501443,6.709600448608398,7.543134689331055,7.43151330947876,0.0,0.9670590162277222,0.5124378109452736
6,model.layers.0.mlp.up_proj.weight,7.75325870513916,7.595242977142334,0.9948286414146423,7.353909147606993,0.07286232645052222,6.754545211791992,7.550910949707031,7.4463114738464355,0.0,0.969157338142395,0.746268656716418
7,model.layers.0.mlp.down_proj.weight,7.736911773681641,7.566742897033691,0.9947254657745361,7.33460519881919,0.10793382750130234,5.933924674987793,7.53875732421875,7.437460899353027,0.0,0.9671139717102051,0.5373134328358209
8,model.layers.0.input_layernorm.weight,2.743377685546875,2.160344123840332,0.7762970924377441,3.1180390119552612,0.2872986800346282,2.6530704498291016,3.436539649963379,3.5277771949768066,0.0012421607971191406,0.3429222106933594,0.004975124378109453
9,model.layers.0.post_attention_layernorm.weight,2.8270721435546875,2.345503807067871,0.8032417297363281,3.4411036372184753,0.40721941299203523,2.845756769180298,3.87689471244812,2.756352424621582,0.002178192138671875,0.35338401794433594,0.009950248756218905
10,model.layers.1.self_attn.q_proj.weight,7.497031211853027,7.0724711418151855,0.9925702810287476,7.09263226413168,0.1866219564543111,6.024040222167969,7.4686713218688965,7.282254219055176,0.0,0.9371289014816284,0.2537313432835821
11,model.layers.1.self_attn.k_proj.weight,7.427007675170898,6.955657482147217,0.9919436573982239,7.024825167842209,0.20063358956632144,5.838593482971191,7.442227363586426,7.226248741149902,0.0,0.9283759593963623,0.24875621890547264
12,model.layers.1.self_attn.v_proj.weight,7.637490749359131,7.379316806793213,0.9939937591552734,7.242088419385254,0.08485034093506204,6.873683452606201,7.429591178894043,7.3605499267578125,0.0,0.9546863436698914,0.2736318407960199
13,model.layers.1.self_attn.o_proj.weight,7.747797012329102,7.586986541748047,0.9947989583015442,7.352202739799395,0.0660849080973818,6.741575717926025,7.517020225524902,7.43930721282959,0.0,0.9684746265411377,0.6716417910447762
14,model.layers.1.mlp.gate_proj.weight,7.752967834472656,7.595783710479736,0.9948306083679199,7.355103219097311,0.0704773534100354,5.808683395385742,7.548206329345703,7.44467306137085,0.0,0.969120979309082,0.736318407960199
15,model.layers.1.mlp.up_proj.weight,7.753700256347656,7.597042083740234,0.9948350787162781,7.357017946133221,0.0683298335688802,5.799115180969238,7.570737361907959,7.446525573730469,0.0,0.969212532043457,0.7562189054726368
16,model.layers.1.mlp.down_proj.weight,7.754824638366699,7.598785877227783,0.9948413372039795,7.354527087162503,0.09151891703586172,6.0310845375061035,7.5526933670043945,7.449033737182617,0.0,0.9693530797958374,0.7711442786069652
17,model.layers.1.input_layernorm.weight,5.184663772583008,4.489096641540527,0.9554705619812012,5.098665118217468,0.08305411374228354,4.987720489501953,5.2098388671875,5.413425445556641,5.054473876953125e-05,0.648082971572876,0.10945273631840796
18,model.layers.1.post_attention_layernorm.weight,4.837594032287598,4.147824287414551,0.9435868263244629,4.895938038825989,0.08303683310606377,4.759957313537598,4.976875305175781,5.252394676208496,0.0,0.6046992540359497,0.03980099502487562
19,model.layers.2.self_attn.q_proj.weight,7.726974964141846,7.549385070800781,0.9946616291999817,7.324862696463242,0.1020921080487137,6.099546432495117,7.529419898986816,7.426787853240967,0.0,0.9658718705177307,0.42786069651741293
20,model.layers.2.self_attn.k_proj.weight,7.629058837890625,7.377532005310059,0.9939863085746765,7.228070002049208,0.12482611147565116,6.737905502319336,7.447118759155273,7.357353687286377,0.0,0.9536323547363281,0.263681592039801
21,model.layers.2.self_attn.v_proj.weight,7.715969562530518,7.526546955108643,0.9945764541625977,7.322624584659934,0.06069514069788886,7.115717887878418,7.479406356811523,7.430011749267578,0.0,0.9644961953163147,0.36318407960199006
22,model.layers.2.self_attn.o_proj.weight,7.758563995361328,7.605770587921143,0.9948662519454956,7.36447207047604,0.05598788920240948,7.090188026428223,7.536918640136719,7.454925060272217,0.0,0.969820499420166,0.8507462686567164
23,model.layers.2.mlp.gate_proj.weight,7.75886869430542,7.6061110496521,0.9948674440383911,7.361008022488519,0.07309848115084307,6.211848258972168,7.548925399780273,7.450857162475586,0.0,0.9698585867881775,0.8756218905472637
24,model.layers.2.mlp.up_proj.weight,7.758840560913086,7.605805397033691,0.9948663711547852,7.360641486688771,0.07692545564116228,5.944764137268066,7.5791168212890625,7.4506096839904785,0.0,0.9698550701141357,0.8656716417910447
25,model.layers.2.mlp.down_proj.weight,7.760571479797363,7.6092209815979,0.9948785305023193,7.362239835699174,0.07336158263029163,6.324585914611816,7.549346446990967,7.456711769104004,0.0,0.9700714349746704,0.9253731343283582
26,model.layers.2.input_layernorm.weight,5.27956485748291,4.697807312011719,0.9614682197570801,5.235841631889343,0.09032282409227653,5.149530410766602,5.386379718780518,5.519863128662109,0.0,0.6599456071853638,0.14925373134328357
27,model.layers.2.post_attention_layernorm.weight,5.028102874755859,4.361252784729004,0.9513444900512695,4.88585090637207,0.056188534656780524,4.802750587463379,4.939471244812012,5.454325199127197,0.0,0.6285128593444824,0.08955223880597014
28,model.layers.3.self_attn.q_proj.weight,7.730605125427246,7.5543036460876465,0.9946798086166382,7.32029923517257,0.15731813339070808,5.830181121826172,7.539769649505615,7.431922435760498,0.0,0.9663256406784058,0.4626865671641791
29,model.layers.3.self_attn.k_proj.weight,7.70069694519043,7.504051208496094,0.9944912195205688,7.296081050299108,0.11348167863452488,6.597251892089844,7.488453388214111,7.415541648864746,0.0,0.9625871181488037,0.29850746268656714
30,model.layers.3.self_attn.v_proj.weight,7.741631507873535,7.575772762298584,0.9947583675384521,7.347436088137329,0.055556060340203835,7.175666809082031,7.515224456787109,7.449701309204102,0.0,0.9677039384841919,0.582089552238806
31,model.layers.3.self_attn.o_proj.weight,7.765125751495361,7.617486476898193,0.994907796382904,7.3701833977829665,0.056916486960957705,6.943999767303467,7.528285503387451,7.460805892944336,0.0,0.9706407189369202,0.9950248756218906
32,model.layers.3.mlp.gate_proj.weight,7.761409759521484,7.610678672790527,0.99488365650177,7.36360680591315,0.07145765330012241,5.992582321166992,7.5482892990112305,7.453785419464111,0.0,0.9701762199401855,0.9502487562189055
33,model.layers.3.mlp.up_proj.weight,7.758848190307617,7.605954647064209,0.9948669075965881,7.361113769425587,0.07350436442513598,6.2861175537109375,7.553089141845703,7.450728416442871,0.0,0.9698560237884521,0.8706467661691543
34,model.layers.3.mlp.down_proj.weight,7.759186267852783,7.606539726257324,0.9948689937591553,7.360636755443093,0.06958623238132076,6.665286540985107,7.553235054016113,7.4532270431518555,0.0,0.9698982834815979,0.8905472636815921
35,model.layers.3.input_layernorm.weight,5.7110161781311035,5.23798131942749,0.9735021591186523,5.781026124954224,0.09534481013313081,5.671952247619629,5.9270172119140625,6.1180100440979,4.76837158203125e-07,0.7138770222663879,0.19900497512437812
36,model.layers.3.post_attention_layernorm.weight,4.732119083404541,4.070556640625,0.9404830932617188,4.598586082458496,0.03883359205481873,4.556301593780518,4.660737037658691,5.028168678283691,0.0,0.5915148854255676,0.03482587064676617
37,model.layers.4.self_attn.q_proj.weight,7.727784156799316,7.549130439758301,0.9946606755256653,7.320064370636828,0.1441838426853962,6.003981113433838,7.5226335525512695,7.428074836730957,0.0,0.9659730195999146,0.43781094527363185
38,model.layers.4.self_attn.k_proj.weight,7.6994452476501465,7.4977803230285645,0.9944671988487244,7.287563944235444,0.15594576231169294,6.559401988983154,7.5076069831848145,7.4141011238098145,0.0,0.9624306559562683,0.2935323383084577
39,model.layers.4.self_attn.v_proj.weight,7.736662864685059,7.56545877456665,0.9947207570075989,7.343693372793496,0.060934849929364654,7.008014678955078,7.495924949645996,7.440424919128418,0.0,0.9670828580856323,0.5223880597014925
40,model.layers.4.self_attn.o_proj.weight,7.7535600662231445,7.597001552581787,0.9948349595069885,7.358269612421282,0.059510375366996236,6.891314506530762,7.562049865722656,7.4522318840026855,0.0,0.9691950082778931,0.7512437810945274
