tensor_id,layer_name,variance,skewness,kurtosis,coefficient_of_variation,dynamic_range
0,model.embed_tokens.weight,0.0002222859620815143,0.002830331213772297,3.2282071113586426,42594.55101136032,0.2666015625
1,model.layers.0.self_attn.q_proj.weight,1884.1021728515625,0.2223193347454071,3.9075238704681396,0.35803221541602825,255.0
2,model.layers.0.self_attn.k_proj.weight,1468.149658203125,0.28891271352767944,5.205432891845703,0.3172356527213745,255.0
3,model.layers.0.self_attn.v_proj.weight,3286.25244140625,0.12983885407447815,2.368295907974243,0.46824294100278774,255.0
4,model.layers.0.self_attn.o_proj.weight,3251.90771484375,0.12351302057504654,2.3239049911499023,0.46615068228309137,255.0
5,model.layers.0.mlp.gate_proj.weight,3561.19580078125,0.11317311972379684,2.1737256050109863,0.487339383657918,255.0
6,model.layers.0.mlp.up_proj.weight,3628.25830078125,0.11118204891681671,2.1444623470306396,0.49127917106498176,255.0
7,model.layers.0.mlp.down_proj.weight,3562.067626953125,0.11297900229692459,2.171431064605713,0.48690931160970263,255.0
8,model.layers.0.input_layernorm.weight,0.0021184850484132767,7.71600341796875,129.20989990234375,7.963096024358596,1.3515625
9,model.layers.0.post_attention_layernorm.weight,0.0010964758694171906,13.578567504882812,222.650146484375,0.44397100717867816,0.7386837005615234
10,model.layers.1.self_attn.q_proj.weight,2973.952392578125,0.14251482486724854,2.556852340698242,0.44678574578432306,255.0
11,model.layers.1.self_attn.k_proj.weight,2813.4794921875,0.14963826537132263,2.669180393218994,0.43494177724890626,255.0
12,model.layers.1.self_attn.v_proj.weight,3215.982177734375,0.12552852928638458,2.3805465698242188,0.46318825152747456,255.0
13,model.layers.1.self_attn.o_proj.weight,3601.857666015625,0.1094931811094284,2.149228096008301,0.48946627085498295,255.0
14,model.layers.1.mlp.gate_proj.weight,3617.586181640625,0.11060566455125809,2.142728328704834,0.4904857893297344,255.0
15,model.layers.1.mlp.up_proj.weight,3624.3076171875,0.11083027720451355,2.144383192062378,0.49091287177005033,255.0
16,model.layers.1.mlp.down_proj.weight,3638.93701171875,0.10984210669994354,2.1363282203674316,0.49194779466915295,255.0
17,model.layers.1.input_layernorm.weight,0.003121121320873499,5.011913299560547,34.80916976928711,1.379334344210472,0.5577392578125
18,model.layers.1.post_attention_layernorm.weight,0.0004432547721080482,1.583122730255127,40.275177001953125,0.16399382541155894,0.3504791259765625
19,model.layers.2.self_attn.q_proj.weight,3520.265625,0.11210568249225616,2.1848530769348145,0.4838675777642221,255.0
20,model.layers.2.self_attn.k_proj.weight,3195.707275390625,0.12515044212341309,2.3456974029541016,0.46191504953402207,255.0
21,model.layers.2.self_attn.v_proj.weight,3475.497802734375,0.11557209491729736,2.2310235500335693,0.4809718750532969,255.0
22,model.layers.2.self_attn.o_proj.weight,3669.48193359375,0.10744397342205048,2.1240665912628174,0.49396001162632125,255.0
23,model.layers.2.mlp.gate_proj.weight,3644.89306640625,0.11305050551891327,2.1342949867248535,0.4929818091088709,255.0
24,model.layers.2.mlp.up_proj.weight,3641.8154296875,0.11047396063804626,2.136798620223999,0.49219952810246986,255.0
